自增ID,租户ID,资产ID,智能耳标编号,记录日期,记录人,资产月龄,资产体重,创建人,创建人名称,创建人部门id,创建时间,修改人,修改人名称,修改时间,状态（0预留）
8253,4,3833,2210000489,2025-04-23,付勇斌,9.0,610.0,17,付勇斌,6,2025-04-23 16:03:58,,,,0
8254,4,3834,2210000490,2025-04-23,付勇斌,9.0,640.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8255,4,3835,2210000491,2025-04-23,付勇斌,9.0,495.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8256,4,3836,2210000492,2025-04-23,付勇斌,9.0,590.0,17,付勇斌,6,2025-04-23 16:03:58,,,,0
8257,4,3837,2210000493,2025-04-23,付勇斌,9.0,600.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8258,4,3838,2210000494,2025-04-23,付勇斌,9.0,650.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8259,4,3839,2210000495,2025-04-23,付勇斌,9.0,500.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8260,4,3840,2210000496,2025-04-23,付勇斌,9.0,500.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8261,4,3841,2210000497,2025-04-23,付勇斌,9.0,600.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8262,4,3842,2210000498,2025-04-23,付勇斌,9.0,545.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8263,4,3843,2210000499,2025-04-23,付勇斌,9.0,495.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8264,4,3844,2210000500,2025-04-23,付勇斌,9.0,500.0,17,付勇斌,6,2025-04-23 16:03:58,,,2025-04-29 17:03:38,0
8265,4,3616,e280689420004022a1515523,2025-04-21,付勇斌,12.0,777.0,17,付勇斌,6,2025-04-21 11:44:04,,,,0
8266,4,3555,e2806894200040243a32b855,2025-04-15,付勇斌,11.0,667.0,17,付勇斌,6,2025-04-15 11:44:02,,,,0
8267,4,3674,e2806894200040243a32b896,2025-04-15,付勇斌,14.0,873.0,17,付勇斌,6,2025-04-15 11:44:02,,,,0
8268,4,3738,e280689420005022a150e120,2025-04-21,付勇斌,14.0,891.0,17,付勇斌,6,2025-04-21 11:44:04,,,,0
8269,4,3608,e2806894200050243a30315d,2025-04-21,付勇斌,12.0,788.0,17,付勇斌,6,2025-04-21 11:44:04,,,,0
8270,4,3927,Q2210000201,2025-04-12,付勇斌,9.0,820.0,17,付勇斌,6,2025-04-12 10:10:49,,,,0
8271,4,3928,Q2210000203,2025-04-12,付勇斌,9.0,832.0,17,付勇斌,6,2025-04-12 10:10:49,,,,0
8272,4,3929,Q2210000204,2025-04-12,付勇斌,9.0,830.0,17,付勇斌,6,2025-04-12 10:10:49,,,,0
8273,4,3930,Q2210000205,2025-04-12,付勇斌,9.0,837.0,17,付勇斌,6,2025-04-12 10:10:49,,,,0
8274,4,3931,Q2210000206,2025-04-12,付勇斌,9.0,808.0,17,付勇斌,6,2025-04-12 10:10:49,,,,0
8275,4,3932,Q2210000207,2025-04-12,付勇斌,9.0,809.0,17,付勇斌,6,2025-04-12 10:10:49,,,,0
8276,4,3933,Q2210000208,2025-04-12,付勇斌,9.0,847.0,17,付勇斌,6,2025-04-12 10:10:49,,,,0
8277,4,3934,Q2210000209,2025-04-12,付勇斌,9.0,812.0,17,付勇斌,6,2025-04-12 10:10:49,,,,0
8278,4,3935,Q2210000210,2025-04-12,付勇斌,9.0,889.0,17,付勇斌,6,2025-04-12 10:10:49,,,,0
8279,4,3936,Q2210000211,2025-04-11,付勇斌,9.0,848.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8280,4,3937,Q2210000213,2025-04-11,付勇斌,9.0,845.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8281,4,3938,Q2210000214,2025-04-11,付勇斌,9.0,834.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8282,4,3939,Q2210000215,2025-04-11,付勇斌,9.0,848.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8283,4,3940,Q2210000216,2025-04-11,付勇斌,9.0,821.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8284,4,3941,Q2210000217,2025-04-11,付勇斌,9.0,844.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8285,4,3942,Q2210000219,2025-04-11,付勇斌,9.0,855.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8286,4,3943,Q2210000220,2025-04-11,付勇斌,9.0,838.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8287,4,3944,Q2210000221,2025-04-11,付勇斌,9.0,840.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8288,4,3945,Q2210000222,2025-04-11,付勇斌,9.0,831.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8289,4,3946,Q2210000223,2025-04-11,付勇斌,9.0,834.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8290,4,3947,Q2210000224,2025-04-11,付勇斌,9.0,856.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8291,4,3948,Q2210000225,2025-04-11,付勇斌,9.0,856.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8292,4,3949,Q2210000226,2025-04-11,付勇斌,9.0,834.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8293,4,3950,Q2210000227,2025-04-11,付勇斌,9.0,847.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8294,4,3951,Q2210000228,2025-04-11,付勇斌,9.0,837.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8295,4,3952,Q2210000229,2025-04-11,付勇斌,9.0,831.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8296,4,3953,Q2210000230,2025-04-11,付勇斌,9.0,846.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8297,4,3954,Q2210000231,2025-04-11,付勇斌,9.0,835.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8298,4,3955,Q2210000232,2025-04-11,付勇斌,9.0,840.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8299,4,3956,Q2210000234,2025-04-11,付勇斌,9.0,868.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8300,4,3957,Q2210000235,2025-04-11,付勇斌,9.0,834.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8301,4,3958,Q2210000236,2025-04-11,付勇斌,9.0,836.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8302,4,3959,Q2210000237,2025-04-11,付勇斌,9.0,833.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8303,4,3960,Q2210000238,2025-04-11,付勇斌,9.0,841.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8304,4,3961,Q2210000239,2025-04-11,付勇斌,9.0,814.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8305,4,3962,Q2210000240,2025-04-11,付勇斌,9.0,845.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8306,4,3963,Q2210000241,2025-04-11,付勇斌,9.0,827.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8307,4,3964,Q2210000242,2025-04-11,付勇斌,9.0,834.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8308,4,3965,Q2210000243,2025-04-11,付勇斌,9.0,816.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8309,4,3966,Q2210000244,2025-04-11,付勇斌,9.0,836.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8310,4,3967,Q2210000245,2025-04-11,付勇斌,9.0,840.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8311,4,3968,Q2210000246,2025-04-11,付勇斌,9.0,843.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8312,4,3969,Q2210000247,2025-04-11,付勇斌,9.0,842.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8313,4,3970,Q2210000248,2025-04-11,付勇斌,9.0,822.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8314,4,3971,Q2210000249,2025-04-11,付勇斌,9.0,829.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8315,4,3972,Q2210000250,2025-04-11,付勇斌,9.0,824.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8316,4,3973,Q2210000251,2025-04-11,付勇斌,9.0,831.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8317,4,3974,Q2210000252,2025-04-11,付勇斌,9.0,843.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8318,4,3975,Q2210000253,2025-04-11,付勇斌,9.0,829.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8319,4,3976,Q2210000254,2025-04-11,付勇斌,9.0,843.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8320,4,3977,Q2210000256,2025-04-11,付勇斌,9.0,856.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8321,4,3978,Q2210000257,2025-04-11,付勇斌,9.0,827.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8322,4,3979,Q2210000258,2025-04-11,付勇斌,9.0,831.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8323,4,3980,Q2210000259,2025-04-11,付勇斌,9.0,851.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8324,4,3981,Q2210000260,2025-04-11,付勇斌,9.0,831.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8325,4,3982,Q2210000261,2025-04-11,付勇斌,9.0,848.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8326,4,3983,Q2210000262,2025-04-11,付勇斌,9.0,818.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
8327,4,3984,Q2210000263,2025-04-11,付勇斌,9.0,843.0,17,付勇斌,6,2025-04-11 12:15:05,,,,0
